BN,IN,atc
AMINOPLASMAL,ACÉTATE DE LYSINE,NA
AMINOPLASMAL,HISTIDINE,NA
AMINOPLASMAL,ISOLEUCINE,NA
AMINOPLASMAL,LEUCINE,NA
AMINOPLASMAL,LYSINE,B05XB03
AMINOPLASMAL,PHÉNYLALANINE,NA
AMINOPLASMAL,SÉRINE,NA
AMINOPLASMAL,THRÉONINE,NA
AMINOPLASMAL,TRYPTOPHANE L,N06AX02
AMINOPLASMAL,VALINE,NA
AMINOPLASMAL,GLYCINE,B05CX03
AMINOPLASMAL,ACIDE GLUTAMIQUE,NA
AMINOPLASMAL,ARGININE,NA
AMINOPLASMAL,MÉTHIONINE,NA
AMINOPLASMAL,PROLINE,NA
AMINOPLASMAL,TYROSINE,NA
AMINOPLASMAL,LYSINE MONOHYDRATÉE,NA
AMINOPLASMAL,CYSTÉINE,NA
AMINOPLASMAL,ACÉTYLCYSTÉINE,R05CB01
AMINOPLASMAL,ACÉTYLCYSTÉINE,S01XA08
AMINOPLASMAL,ACÉTYLCYSTÉINE,V03AB23
AMINOSTAB,ASPARTIQUE (ACIDE),NA
AMINOSTAB,ALANINE,NA
AMINOSTAB,LYSINE (ACÉTATE DE),NA
AMINOSTAB,CYSTÉINE,NA
AMINOSTAB,HISTIDINE,NA
AMINOSTAB,ISOLEUCINE,NA
AMINOSTAB,LEUCINE,NA
AMINOSTAB,LYSINE,B05XB03
AMINOSTAB,PHÉNYLALANINE,NA
AMINOSTAB,SÉRINE,NA
AMINOSTAB,THRÉONINE,NA
AMINOSTAB,TRYPTOPHANE L,N06AX02
AMINOSTAB,VALINE,NA
AMINOSTAB,GLYCINE,B05CX03
AMINOSTAB,GLUTAMIQUE (ACIDE),NA
AMINOSTAB,ARGININE,NA
AMINOSTAB,MÉTHIONINE,NA
AMINOSTAB,PROLINE,NA
AMINOSTAB,TYROSINE,NA
AMINOSTAB,L-CYSTINE,NA
AMINOVEN,ALANINE,NA
AMINOVEN,ACÉTATE DE LYSINE,NA
AMINOVEN,HISTIDINE,NA
AMINOVEN,ISOLEUCINE,NA
AMINOVEN,LEUCINE,NA
AMINOVEN,LYSINE,B05XB03
AMINOVEN,PHÉNYLALANINE,NA
AMINOVEN,SÉRINE,NA
AMINOVEN,THRÉONINE,NA
AMINOVEN,TRYPTOPHANE L,N06AX02
AMINOVEN,VALINE,NA
AMINOVEN,GLYCINE,B05CX03
AMINOVEN,ARGININE,NA
AMINOVEN,TAURINE,NA
AMINOVEN,TAURINE,NA
AMINOVEN,MÉTHIONINE,NA
AMINOVEN,PROLINE,NA
AMINOVEN,TYROSINE,NA
AMIODARONE,CHLORHYDRATE D'AMIODARONE,NA
AMIODARONE,AMIODARONE (CHLORHYDRATE D'),NA
AMIRIOX,BIMATOPROST,S01EE03
AMISULPRIDE,AMISULPRIDE,N05AL05
AMLODIPINE,AMLODIPINE,C08CA01
AMLODIPINE,BÉSILATE D'AMLODIPINE,NA
AMLODIPINE,AMLODIPINE (BÉSILATE D'),NA
AMLODIPINE/VALSARTAN,VALSARTAN,C09CA03
AMLODIPINE/VALSARTAN,AMLODIPINE,C08CA01
AMLODIPINE/VALSARTAN,BÉSILATE D'AMLODIPINE,NA
AMLODIPINE/VALSARTAN,BÉSYLATE D'AMLODIPINE,NA
AMLOR,AMLODIPINE,C08CA01
AMLOR,BÉSILATE D'AMLODIPINE,NA
AMMONAPS,SODIUM (PHÉNYLBUTYRATE DE),A16AX03
AMODEX,AMOXICILLINE,J01CA04
AMODEX,AMOXICILLINE,NA
AMOROLFINE,AMOROLFINE BASE,D01AE16
AMOROLFINE,CHLORHYDRATE D'AMOROLFINE,NA
AMOXICILLINE / ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,J01CA04
AMOXICILLINE / ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,NA
AMOXICILLINE / ACIDE CLAVULANIQUE,CLAVULANATE DE POTASSIUM,NA
AMOXICILLINE / ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE / ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE BASE,J01CA04
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE BASE,NA
AMOXICILLINE ACIDE CLAVULANIQUE,CLAVULANATE DE POTASSIUM,NA
AMOXICILLINE ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE,J01CA04
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE,NA
AMOXICILLINE ACIDE CLAVULANIQUE,ACIDE CLAVULANIQUE,NA
AMOXICILLINE ACIDE CLAVULANIQUE,ACIDE CLAVULANIQUE,NA
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE SODIQUE,NA
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,J01CA04
AMOXICILLINE ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,NA
AMOXICILLINE,AMOXICILLINE ANHYDRE,J01CA04
AMOXICILLINE,AMOXICILLINE ANHYDRE,NA
AMOXICILLINE,AMOXICILLINE,J01CA04
AMOXICILLINE,AMOXICILLINE,NA
AMOXICILLINE,AMOXICILLINE BASE,J01CA04
AMOXICILLINE,AMOXICILLINE BASE,NA
AMOXICILLINE,AMOXICILLINE SODIQUE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE,J01CA04
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,CLAVULANATE DE POTASSIUM,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,ACIDE CLAVULANIQUE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,ACIDE CLAVULANIQUE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,J01CA04
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE ANHYDRE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE/ACIDE CLAVULANIQUE,CLAVULANIQUE (ACIDE),NA
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE BASE,J01CA04
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE BASE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,AMOXICILLINE SODIQUE,NA
AMOXICILLINE/ACIDE CLAVULANIQUE,CLAVULANATE POTASSIQUE,NA
AMPICILLINE,AMPICILLINE SODIQUE,NA
AMPICILLINE,AMPICILLINE ANHYDRE,J01CA01
AMPICILLINE,AMPICILLINE ANHYDRE,S01AA19
AMPICILLINE,AMPICILLINE ANHYDRE,NA
AMPICILLINE,AMPICILLINE BASE,J01CA01
AMPICILLINE,AMPICILLINE BASE,S01AA19
AMPICILLINE,AMPICILLINE BASE,NA
AMSALYO,AMSACRINE,L01XX01
AMSPARITY,ADALIMUMAB,L04AB04
AMUKINE,CHLORE ACTIF,NA
AMUKINE,SOLUTION AQUEUSE D'HYPOCHLORITE DE SODIUM ET DE CHLORURE DE SODIUM,D08AX07
AMYCOR,BIFONAZOLE,D01AC10
AMYCOR ONYCHOSET,URÉE,B05BC02
AMYCOR ONYCHOSET,URÉE,D02AE01
AMYCOR ONYCHOSET,BIFONAZOLE,D01AC10
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE,AMYLMÉTACRÉSOL,NA
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE,ALCOOL DICHLOROBENZYLIQUE,R02AA03
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,AMYLMÉTACRÉSOL,NA
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,ALCOOL DICHLOROBENZYLIQUE,R02AA03
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,C01BB01
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,C05AD01
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,D04AB01
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,N01BB02
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,R02AD02
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,S01HA07
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,LIDOCAÏNE,S02DA01
AMYLMETACRESOL/ALCOOL DICHLOROBENZYLIQUE/LIDOCAINE,CHLORHYDRATE DE LIDOCAÏNE,NA
ANAFRANIL,CLOMIPRAMINE (CHLORHYDRATE DE),NA
ANAFRANIL,CHLORHYDRATE DE CLOMIPRAMINE,NA
ANAGRELIDE,ANAGRÉLIDE,L01XX35
ANANDRON,NILUTAMIDE,L02BB02
ANAPEN,ADRÉNALINE,A01AD01
ANAPEN,ADRÉNALINE,B02BC09
ANAPEN,ADRÉNALINE,C01CA24
ANAPEN,ADRÉNALINE,R01AA14
ANAPEN,ADRÉNALINE,R03AA01
ANAPEN,ADRÉNALINE,S01EA01
ANASTROZOLE,ANASTROZOLE,L02BG03
ANAUSIN METOCLOPRAMIDE,MÉTOCLOPRAMIDE,A03FA01
ANCOTIL,FLUCYTOSINE,D01AE21
ANCOTIL,FLUCYTOSINE,J02AX01
ANDRACTIM,ANDROSTANOLONE,G03BA03
ANDROCUR,CYPROTÉRONE (ACÉTATE DE),NA
ANDROGEL,TESTOSTÉRONE,G03BA03
ANDROTARDYL,ÉNANTATE DE TESTOSTÉRONE,NA
ANESDERM,LIDOCAÏNE,C01BB01
ANESDERM,LIDOCAÏNE,C05AD01
ANESDERM,LIDOCAÏNE,D04AB01
ANESDERM,LIDOCAÏNE,N01BB02
ANESDERM,LIDOCAÏNE,R02AD02
ANESDERM,LIDOCAÏNE,S01HA07
ANESDERM,LIDOCAÏNE,S02DA01
ANESDERM,PRILOCAÏNE,N01BB04
ANGELIQ,ESTRADIOL,G03CA03
ANGELIQ,DROSPIRÉNONE,G03AC10
ANGELIQ,ESTRADIOL HÉMIHYDRATÉ,NA
ANGI-SPRAY MAL DE GORGE CHLORHEXIDINE/LIDOCAÏNE,CHLORHEXIDINE (GLUCONATE DE),NA
ANGI-SPRAY MAL DE GORGE CHLORHEXIDINE/LIDOCAÏNE,CHLORHYDRATE DE LIDOCAÏNE,NA
ANGIOCIS. T,PYROPHOSPHATE DE SODIUM DÉCAHYDRATÉ,NA
ANGUSTA,MISOPROSTOL,A02BB01
ANGUSTA,MISOPROSTOL,G02AD06
ANORO ELLIPTA,UMÉCLIDINIUM,NA
ANORO ELLIPTA,BROMURE D'UMÉCLIDINIUM,R03BB07
ANORO ELLIPTA,VILANTÉROL,NA
ANORO ELLIPTA,TRIFÉNATATE DE VILANTÉROL,NA
ANSATIPINE,RIFABUTINE,J04AB04
ANTADYS,FLURBIPROFÈNE,M01AE09
ANTADYS,FLURBIPROFÈNE,M02AA19
ANTADYS,FLURBIPROFÈNE,R02AX01
ANTADYS,FLURBIPROFÈNE,S01BC04
ANTALCALM,DICLOFÉNAC SODIQUE,NA
ANTALNOX,NAPROXÈNE SODIQUE,NA
ANTALYRE,ACIDE SALICYLIQUE,D01AE12
ANTALYRE,ACIDE SALICYLIQUE,S01BC08
ANTARENE,IBUPROFÈNE,C01EB16
ANTARENE,IBUPROFÈNE,G02CC01
ANTARENE,IBUPROFÈNE,M01AE01
ANTARENE,IBUPROFÈNE,M02AA13
ANTARENE,IBUPROFÈNE,R02AX02
ANTARENE CODEINE,IBUPROFÈNE,C01EB16
ANTARENE CODEINE,IBUPROFÈNE,G02CC01
ANTARENE CODEINE,IBUPROFÈNE,M01AE01
ANTARENE CODEINE,IBUPROFÈNE,M02AA13
ANTARENE CODEINE,IBUPROFÈNE,R02AX02
ANTARENE CODEINE,PHOSPHATE DE CODÉINE HÉMIHYDRATÉ,NA
ANTASOL,OXYGÈNE,V03AN01
ANTASOL,PROTOXYDE D'AZOTE,N01AX13
ANTIBIO SYNALAR,ACÉTONIDE DE FLUOCINOLONE,C05AA10
ANTIBIO SYNALAR,ACÉTONIDE DE FLUOCINOLONE,D07AC04
ANTIBIO SYNALAR,ACÉTONIDE DE FLUOCINOLONE,S01BA15
ANTIBIO SYNALAR,ACÉTONIDE DE FLUOCINOLONE,S02BA08
ANTIBIO SYNALAR,SULFATE DE POLYMYXINE B,A07AA05
ANTIBIO SYNALAR,SULFATE DE POLYMYXINE B,J01XB02
ANTIBIO SYNALAR,SULFATE DE POLYMYXINE B,S01AA18
ANTIBIO SYNALAR,SULFATE DE POLYMYXINE B,S02AA11
ANTIBIO SYNALAR,SULFATE DE POLYMYXINE B,S03AA03
ANTIGONE,DÉSOGESTREL,G03AC09
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ACÉTYLSALICYLIQUE (ACIDE),A01AD05
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ACÉTYLSALICYLIQUE (ACIDE),B01AC06
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ACÉTYLSALICYLIQUE (ACIDE),N02BA01
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,CAFÉINE,D11AX26
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,CAFÉINE,N06BC01
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ASCORBIQUE (ACIDE),A11GA01
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ASCORBIQUE (ACIDE),G01AD03
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,ASCORBIQUE (ACIDE),S01XA15
ANTIGRIPPINE A L'ASPIRINE ETAT GRIPPAL,CAFÉINE MONOHYDRATÉE,NA
ANY,MÉQUINOL,D11AX06
AOTAL,ACAMPROSATE CALCIQUE,NA
APAISYLGEL,CHLORHYDRATE D'ISOTHIPENDYL,NA
APIDRA,INSULINE GLULISINE,A10AB06
APIDRA SOLOSTAR,INSULINE GLULISINE,A10AB06
APOMORPHINE,CHLORHYDRATE D'APOMORPHINE HÉMIHYDRATÉ,NA
APRANAX,NAPROXÈNE SODIQUE,NA
APRANAX,NAPROXÈNE,G02CC02
APRANAX,NAPROXÈNE,M01AE02
APRANAX,NAPROXÈNE,M02AA12
APREPITANT,APRÉPITANT,A04AD12
APREXEVO,IRBÉSARTAN,C09CA04
APREXEVO,AMLODIPINE,C08CA01
APREXEVO,BÉSILATE D'AMLODIPINE,NA
APROKAM,CÉFUROXIME SODIQUE,NA
APROKAM,CÉFUROXIME,J01DC02
APROKAM,CÉFUROXIME,S01AA27
APROVEL,IRBÉSARTAN,C09CA04
APTIVUS,TIPRANAVIR,J05AE09
APURONE,FLUMÉQUINE,J01MB07
ARACYTINE,CYTARABINE,L01BC01
ARANESP,DARBÉPOÉTINE ALFA,B03XA02
ARAVA,LÉFLUNOMIDE,L04AA13
ARCALION,SULBUTIAMINE,A11DA02
ARCOXIA,ÉTORICOXIB,M01AH05
ARGININE VEYRON,L-ARGININE,NA
ARGININE VEYRON,CHLORHYDRATE DE L-ARGININE,B05XB01
ARGINOTRI-B,CHLORHYDRATE DE THIAMINE,NA
ARGINOTRI-B,CHLORHYDRATE DE PYRIDOXINE,NA
ARGINOTRI-B,CHLORHYDRATE D'ARGININE,B05XB01
ARICEPT,CHLORHYDRATE DE DONÉPÉZIL,NA
ARICEPT,DONÉPÉZIL BASE,N06DA02
ARIKAYCE LIPOSOMAL,SULFATE D'AMIKACINE,NA
ARIKAYCE LIPOSOMAL,AMIKACINE,D06AX12
ARIKAYCE LIPOSOMAL,AMIKACINE,J01GB06
ARIKAYCE LIPOSOMAL,AMIKACINE,S01AA21
ARIMIDEX,ANASTROZOLE,L02BG03
ARIPIPRAZOLE,ARIPIPRAZOLE,N05AX12
ARIXTRA,FONDAPARINUX SODIQUE,NA
ARMISARTE,PÉMÉTREXED,L01BA04
AROLAC,MALÉATE DE LISURIDE,NA
AROMASINE,EXÉMESTANE,L02BG06
ARSENIC TRIOXIDE,TRIOXYDE D'ARSENIC,L01XX27
ARSENIC TRIOXYDE,TRIOXYDE D'ARSENIC,L01XX27
ART,DIACÉRÉINE,M01AX21
ARTANE,CHLORHYDRATE DE TRIHEXYPHÉNIDYLE,NA
ARTANE,TRIHEXYPHÉNIDYLE (CHLORHYDRATE DE),NA
ARTELAC,HYPROMELLOSE,S01KA02
ARTEX,TERTATOLOL (CHLORHYDRATE DE),NA
ARTHROCINE,SULINDAC,M01AB02
ARTHRODONT,ÉNOXOLONE,D03AX10
ARTICADENT,ADRÉNALINE,A01AD01
ARTICADENT,ADRÉNALINE,B02BC09
ARTICADENT,ADRÉNALINE,C01CA24
ARTICADENT,ADRÉNALINE,R01AA14
ARTICADENT,ADRÉNALINE,R03AA01
ARTICADENT,ADRÉNALINE,S01EA01
ARTICADENT,TARTRATE D'ADRÉNALINE,NA
ARTICADENT,CHLORHYDRATE D'ARTICAÏNE,NA
ARTINIBSA,ADRÉNALINE,A01AD01
ARTINIBSA,ADRÉNALINE,B02BC09
ARTINIBSA,ADRÉNALINE,C01CA24
ARTINIBSA,ADRÉNALINE,R01AA14
ARTINIBSA,ADRÉNALINE,R03AA01
ARTINIBSA,ADRÉNALINE,S01EA01
ARTINIBSA,TARTRATE D'ADRÉNALINE,NA
ARTINIBSA,CHLORHYDRATE D'ARTICAÏNE,NA
ARTIREM,OXYDE DE GADOLINIUM,NA
ARTISIAL,POTASSIUM (CHLORURE DE),A12BA01
ARTISIAL,POTASSIUM (CHLORURE DE),B05XA01
ARTISIAL,CHLORURE DE CALCIUM DIHYDRATÉ,NA
ARTISIAL,SODIUM (CHLORURE DE),A12CA01
ARTISIAL,SODIUM (CHLORURE DE),B05CB01
ARTISIAL,SODIUM (CHLORURE DE),B05XA03
ARTISIAL,MAGNÉSIUM (CHLORURE DE) HEXAHYDRATÉ,A12CC01
ARTISIAL,MAGNÉSIUM (CHLORURE DE) HEXAHYDRATÉ,B05XA11
ARTISIAL,MAGNÉSIUM (CHLORURE DE) HEXAHYDRATÉ,NA
ARTISIAL,PHOSPHATE DIPOTASSIQUE,NA
ARTISIAL,PHOSPHATE MONOPOTASSIQUE,NA
ARTISS,APROTININE,B02AB01
ARTISS,CHLORURE DE CALCIUM DIHYDRATÉ,NA
ARTOTEC,DICLOFÉNAC SODIQUE,NA
ARTOTEC,MISOPROSTOL,A02BB01
ARTOTEC,MISOPROSTOL,G02AD06
ARZERRA,OFATUMUMAB,L01FA02
ARZERRA,OFATUMUMAB,L04AA52
ASASANTINE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASASANTINE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASASANTINE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASASANTINE,DIPYRIDAMOLE,B01AC07
ASCABIOL,BENZOATE DE BENZYLE,P03AX01
ASCOFER,ASCORBATE FERREUX,B03AA10
ASCOFER,FER,NA
ASCORBATE DE CALCIUM,ASCORBATE DE CALCIUM,NA
ASCORBATE DE CALCIUM,ACIDE ASCORBIQUE,A11GA01
ASCORBATE DE CALCIUM,ACIDE ASCORBIQUE,G01AD03
ASCORBATE DE CALCIUM,ACIDE ASCORBIQUE,S01XA15
ASMANEX TWISTHALER,FUROATE DE MOMÉTASONE,NA
ASMELOR,FUMARATE DE FORMOTÉROL DIHYDRATÉ,NA
ASPEGIC,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPEGIC,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPEGIC,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPEGIC ADULTES,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPEGIC ADULTES,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPEGIC ADULTES,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPEGIC ENFANTS,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPEGIC ENFANTS,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPEGIC ENFANTS,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPEGIC INJECTABLE,ACÉTYLSALICYLIQUE (ACIDE),A01AD05
ASPEGIC INJECTABLE,ACÉTYLSALICYLIQUE (ACIDE),B01AC06
ASPEGIC INJECTABLE,ACÉTYLSALICYLIQUE (ACIDE),N02BA01
ASPEGIC INJECTABLE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPEGIC INJECTABLE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPEGIC INJECTABLE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPEGIC NOURRISSONS,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPEGIC NOURRISSONS,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPEGIC NOURRISSONS,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPIRINE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPIRINE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPIRINE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPIRINE,ACIDE ASCORBIQUE,A11GA01
ASPIRINE,ACIDE ASCORBIQUE,G01AD03
ASPIRINE,ACIDE ASCORBIQUE,S01XA15
ASPIRINE,ACÉTYLSALICYLIQUE (ACIDE),A01AD05
ASPIRINE,ACÉTYLSALICYLIQUE (ACIDE),B01AC06
ASPIRINE,ACÉTYLSALICYLIQUE (ACIDE),N02BA01
ASPIRINE PROTECT,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPIRINE PROTECT,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPIRINE PROTECT,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPRO,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPRO,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPRO,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPRO,ACÉTYLSALICYLIQUE (ACIDE),A01AD05
ASPRO,ACÉTYLSALICYLIQUE (ACIDE),B01AC06
ASPRO,ACÉTYLSALICYLIQUE (ACIDE),N02BA01
ASPRO CAFEINE,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPRO CAFEINE,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPRO CAFEINE,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASPRO CAFEINE,CAFÉINE,D11AX26
ASPRO CAFEINE,CAFÉINE,N06BC01
ASPROFLASH,ACIDE ACÉTYLSALICYLIQUE,A01AD05
ASPROFLASH,ACIDE ACÉTYLSALICYLIQUE,B01AC06
ASPROFLASH,ACIDE ACÉTYLSALICYLIQUE,N02BA01
ASTERLUNA,LÉVONORGESTREL,G03AC03
ASTERLUNA,LÉVONORGESTREL,G03AD01
ASTERLUNA,ÉTHINYLESTRADIOL,G03CA01
ASTERLUNA,ÉTHINYLESTRADIOL,L02AA03
ASTERLUNA CONTINU,LÉVONORGESTREL,G03AC03
ASTERLUNA CONTINU,LÉVONORGESTREL,G03AD01
ASTERLUNA CONTINU,ÉTHINYLESTRADIOL,G03CA01
ASTERLUNA CONTINU,ÉTHINYLESTRADIOL,L02AA03
ATACAND,CANDÉSARTAN CILEXÉTIL,NA
ATAZANAVIR,ATAZANAVIR,J05AE08
ATAZANAVIR,SULFATE D'ATAZANAVIR,NA
ATEBEMYXINE,SULFATE DE POLYMYXINE B,A07AA05
ATEBEMYXINE,SULFATE DE POLYMYXINE B,J01XB02
ATEBEMYXINE,SULFATE DE POLYMYXINE B,S01AA18
ATEBEMYXINE,SULFATE DE POLYMYXINE B,S02AA11
ATEBEMYXINE,SULFATE DE POLYMYXINE B,S03AA03
ATECTURA BREEZHALER,FUROATE DE MOMÉTASONE,NA
ATECTURA BREEZHALER,INDACATÉROL,R03AC18
ATENATIV,ANTITHROMBINE III HUMAINE,NA
ATENOLOL,ATÉNOLOL,C07AB03
ATENOLOL/NIFEDIPINE,ATÉNOLOL,C07AB03
ATENOLOL/NIFEDIPINE,NIFÉDIPINE,C08CA05
ATEPADENE,ADÉNOSINE TRIPHOSPHATE DISODIQUE,NA
ATORVASTATINE,ATORVASTATINE,C10AA05
ATORVASTATINE,ATORVASTATINE CALCIQUE,NA
ATORVASTATINE,ATORVASTATINE CALCIQUE TRIHYDRATÉE,NA
ATOSIBAN,ATOSIBAN,G02CX01
ATOVAQUONE,ATOVAQUONE,P01AX06
ATOVAQUONE/PROGUANIL,ATOVAQUONE,P01AX06
ATOVAQUONE/PROGUANIL,CHLORHYDRATE DE PROGUANIL,NA
ATRACURIUM,BÉSILATE D'ATRACURIUM,NA
ATRACURIUM,ATRACURIUM,M03AC04
ATRIANCE,NÉLARABINE,L01BB07
ATRIPLA,ÉFAVIRENZ,J05AG03
ATRIPLA,TÉNOFOVIR DISOPROXIL,J05AF07
ATRIPLA,EMTRICITABINE,J05AF09
ATRIPLA,TÉNOFOVIR DISOPROXIL (FUMARATE DE),NA
ATROPINE SULFATE,SULFATE D'ATROPINE MONOHYDRATÉ,NA
ATROPINE SULFATE,ATROPINE,A03BA01
ATROPINE SULFATE,ATROPINE,S01FA01
ATROVENT,BROMURE D'IPRATROPIUM,R01AX03
ATROVENT,BROMURE D'IPRATROPIUM,R03BB01
ATROVENT,BROMURE D'IPRATROPIUM ANHYDRE,R01AX03
ATROVENT,BROMURE D'IPRATROPIUM ANHYDRE,R03BB01
ATROVENT,IPRATROPIUM (BROMURE D') MONOHYDRATÉ,R01AX03
ATROVENT,IPRATROPIUM (BROMURE D') MONOHYDRATÉ,R03BB01
ATROVENT,IPRATROPIUM (BROMURE D') ANHYDRE,R01AX03
ATROVENT,IPRATROPIUM (BROMURE D') ANHYDRE,R03BB01
ATROVENT ADULTES,BROMURE D'IPRATROPIUM,R01AX03
ATROVENT ADULTES,BROMURE D'IPRATROPIUM,R03BB01
ATROVENT ENFANTS,BROMURE D'IPRATROPIUM,R01AX03
ATROVENT ENFANTS,BROMURE D'IPRATROPIUM,R03BB01
ATROVENT NASAL,BROMURE D'IPRATROPIUM,R01AX03
ATROVENT NASAL,BROMURE D'IPRATROPIUM,R03BB01
ATROVENT NASAL,BROMURE D'IPRATROPIUM ANHYDRE,R01AX03
ATROVENT NASAL,BROMURE D'IPRATROPIUM ANHYDRE,R03BB01
ATURGYL,CHLORHYDRATE D'OXYMÉTAZOLINE,NA
AUBAGIO,TÉRIFLUNOMIDE,L04AA31
AUGMENTIN,AMOXICILLINE ANHYDRE,J01CA04
AUGMENTIN,AMOXICILLINE ANHYDRE,NA
AUGMENTIN,CLAVULANATE DE POTASSIUM,NA
AUGMENTIN,ACIDE CLAVULANIQUE,NA
AUGMENTIN,ACIDE CLAVULANIQUE,NA
AUGMENTIN,AMOXICILLINE SODIQUE,NA
AUGMENTIN,AMOXICILLINE,J01CA04
AUGMENTIN,AMOXICILLINE,NA
AURICULARUM,NYSTATINE,NA
AURICULARUM,SULFATE DE POLYMYXINE B,A07AA05
AURICULARUM,SULFATE DE POLYMYXINE B,J01XB02
AURICULARUM,SULFATE DE POLYMYXINE B,S01AA18
AURICULARUM,SULFATE DE POLYMYXINE B,S02AA11
AURICULARUM,SULFATE DE POLYMYXINE B,S03AA03
